,语言能力,总量
29882,语言流利，口齿清晰，粤语熟练，潮汕话（母语）,1
29883,通过cet4.良好的听说读写译能力,1
29884,普通话水平经测试得分****，语听说读写良好，通过大学语四级，曾参加学校辩论大赛,1
29885,1：语水平：CET-6 TEM-4 语口语：熟练，能直接与外国客人交流，语,1
29886,语：CET-4************日语: 具备基础日语四级水平******,1
29887,广东话，普通话，语，客家话等！,1
29888,TEM-8 TEM-4 CET-6 CET-4,1
29889,外语语种：语       水平：达四级     粤语程度：基本听懂,1
29890,汉语（精通）：  ************语（一般）： ***********,1
29891, 一、 工作能力：配合好跟经理间的工作，能熟练操作各种办公设备，能熟练操作电脑,1
29892,"普通话流利,粤语一般,语良好************",1
29893,CET4-****分************CET6-****分,1
29894,吃苦耐劳，学习能力较强，有积极进取精神，和端正的工作态度，爱好广泛，善与人沟通,1
29895,"   熟练计算机各项操作,能独立解决各种常见小问题,并通过湖南省二级C语言,会",1
29896,语CET-4级，拥有ISO****内审员资格证，计算机水平国家一级，能熟练操,1
29897,在语言能力方面较好,1
29898,有较强的语言表达能力，认识简单的语单词。************能简单掌握行业,1
29899,普通话很标准，有很强的语言表达能力。,1
29900,普通话流利。粤语能听，讲的还不够流利。语三级。,1
29901,普通话：精通  广东话：一般。,1
29902,普通话，广东话标准，略懂语,1
29903,语三级，国语良好,1
29904,"普通话标准************语获得国家四级证书,能进行日常交流和沟通,",1
29905,中文能力高************文能进行简单的听说读写***********,1
29906,精通粤语、客家话。,1
29907,语听说读写能力较好,1
29908,      能够流利地用普通话、粤语沟通交流，语读、写能力较强，可以用口语进行,1
29909,熟悉语、法语，能用它们进行听、说、读、写．,1
29910,   普通话二乙************   文四级,1
29911,语水平良好，普通话二级乙等,1
29912,能写文邮件，能听懂白话。,1
29913,通过语专业八级，有多次接待外国客户的经验，口语流利，能准确及时地回复客户邮件。,1
29914,能熟练使用语进行交流会话。熟悉书写各种文商务信函，熟悉各种单证的起草。另外，,1
29915,  能熟练进行一般的语口语对话,1
29916,本人性格外向，善沟通，懂得一定的礼仪，服从安排。工作让我明白，无论什么都要用更多,1
29917,性格开朗，表达沟通能力强。,1
29918,语四、六级，,1
29919,  本人母语汉语，能熟练掌握普通话。学习的第二语种是语，语言能力一般。,1
29920,普通话，粤语！客家话,1
29921,日本語がうまくできます.学校にいた時、日本人の担任先生とよく交流します。日本人の,1
29922,粤语和普通话都良好 ,1
29923,相信自己；************有团队协作意识；************非常热,1
29924,普通话通过国家级“二乙”；************语CET-6级，具备较好的听,1
29925,国语流利、语良好,1
29926,语言：语听、写、读流利熟练、普通话、粤语、客家话、雷州话；,1
29927,已通过 CET6（****分）。有较强的听、说、读、写能力。能熟练的读写专业文献，,1
29928,     有较好得组织和协调能力，对商务礼仪有一定得了解和接触。普通话标准，能听,1
29929,考过国家计算机二级.,1
29930,普通话良好，听得懂粤语，会讲白话，善于与人沟通。,1
29931,有很好的沟通能力，能很好的处理人际关系。,1
29932,有较好的语听、说、读、写能力；************,1
29933,"语CET-4,有良好的读写能力************",1
29934,语言能里很好，并具备较好的语言勾通能力，在公关和管理上有一点能力。,1
29935,获得专业语八级证书,1
29936,有良好的语言组织能力，,1
29937,本人在六年多的工作经验中学到了很多沟通的技巧，尤其是在PMC管理这个职位上需要更,1
29938,国大学语四级证书（****）****************.4全国计算机等级,1
29939,普通话流利，口齿清晰，表达沟通能力强。*********************,1
29940,通过大学语四级和六级考试,1
29941,曾获得普通话二级乙等证书,1
29942,"语:CET-4,CET-6:****************粤语:精通",1
29943,语：四级：****分************     六级：****分,1
29944,"普通话标准,************语口语良好,",1
29945,普通话标准。************语4级。,1
29946,从我个人在销售行业简单的从业经验来看，营销模式不断在发生变化和创新. *****,1
29947,会基本的语对话，普通话熟练，白话能听懂，需加强口语练习。***********,1
29948,国语流利************粤语流利,1
29949,普通话************语/四级************,1
29950,语水平一般************粤语精通************国语流利,1
29951,"普通话已过二级乙等.语已过四级,计算机已过一级",1
29952,普通话：精通  ************广东话：良好************日语,1
29953,国语：流利************粤语：流利************语：一般,1
29954,普通话：精通  广东话：能听懂************语：听：精通，说：良好，,1
29955,●能与外籍教师进行简单交 流。                         ,1
29956,本人通过高等教育自学考试在学语的笔试，有一定的文阅读能力，但口语缺乏练习。,1
29957,"普通話熟練,語一般,粵語能聽懂.",1
29958,精通粤语、普通话，有一定的语基础,1
29959,通过大学语四级、六级,1
29960,语四级************擅长阅读，口语不太突出,1
29961,全国高等学校语应用能力考试A级************普通话2乙,1
29962,"熟悉电子消费品类产品的开发,及制程****公司运作的各个流程，熟练掌握ERP",1
29963,   有很好和与人沟通的能力，清晰的表达自己的思路。在校期间获得普通话二级乙等证,1
29964,语水平：大学语水平************普通话流利************,1
29965,普通话清晰,1
29966,善于倾听、表达与沟通。,1
29967,语 良好******国语水平：	优秀******日语：	一般******,1
29968,语四级~,1
29969,普通话   语    广东话 ,1
29970,"   语:口语一般,阅读能力良好;************   粤语:能听,",1
29971,●. 语四级，对语能进行简单听、说、读、写。熟练运用网络查阅相关文资料并能,1
29972,    待人真诚，比较有亲和力，交际个人认为还好。,1
29973,"语四级成绩****.能阅读语杂志等刊物,有一定的听说写能力",1
29974,能阅读文资料，书面交流,1
29975,我具备网络应用方面的相关软硬件知识，胜任网络安全、安装、调试、维护工作，受过系统,1
29976,"潮汕话,普通话,粤语",1
29977,普通话国家二级甲等；************语四级。,1
29978,"  普通话流利,粤语流利。",1
29979,语，语四级（CET-4），国语、粤语良好，熟练的潮汕话***********,1
29980,	************,1
29981,****年6月通过全国语等级考试，获得大学语A级证书************,1
29982,1.普通话标准；************2.沟通表达能力较好；*********,1
29983,语口语熟练，能作为日常工作语言；************一次性通过国家语CE,1
29984,外语语种： 汉语  掌握程度： 熟练    ************听说能力： ,1
29985,"普通话标准,语言表达能力比较强,语一般",1
29986,语通过国家三级,1
29987,"Hello, My name is Yesong, thank you for",1
29988,   语:通过语专业八级 商务语高级(托业),1
29989,"熟练使用文作为工作语言（书面及口语），适应全文环境  (Mail, pho",1
29990,有较强的沟通****公司提出合理化的建议,1
29991,语四级，标准普通话。,1
29992,语：良好  ; 普通话：流利 ;  粤语：良好,1
29993,    国语普通话良好,1
29994,自信口才能当业务员.,1
29995,"    普通话标准,语三级************",1
29996,普通话标准流利，有较强的逻辑性！,1
29997,语能力优秀，听说读写流利,1
29998,普通话标准良好，通过大学语四级．,1
29999,外语  四级,1
30000,"个人性格开朗 活泼,交流能力还可以,普通话还可以",1
30001,普通话流利，能够很好的与各种人士很好好的沟通与相处。语表达能力较强，能够流利的,1
30002,普通话  2乙 ************语    CET-4,1
30003,语阅读能力比较强，通过国家三级考试，現准備學習語口語,1
30004,普通话：精通  粤语：精通  客家话：精通  语：良好,1
30005,普通话流利，通过语六级，语口语流利，读写能力强。,1
30006,我的语言表达能力良好，口齿清楚，条理清晰，逻辑性强。,1
30007,   普通话流利，语口语流利，较好的口头表达能力************   ,1
30008,"普通话标准,粤语一般,语口语基础。",1
30009,能具备一定的语听、写、译的能力，能进行简单的交流熟悉Windows ****/****,1
30010,普通话：流利 ，   日语： 熟练，  语：一般。,1
30011,"语水平:一般,大学语考试四级.******粤语水平:良好.******普通",1
30012,"语言能力：普通话流利,粤语一般 ************第一外语：语 一般 ",1
30013,语良好************粤语流利,1
30014,语国家四级，普通话二级甲等，计算机极为精通，国家二级。************,1
30015,语4级CET  ****分,1
30016,普通话平良好。************有一定的文阅读能力。,1
30017,"语三级,国语流利,语言表达能力较好",1
30018,文字／语言表达能力良好，粤语/国语标准。************　　　　,1
30019,普通话标准、流利。语达到国家语四级水平，能比较熟练地听说，以及读写。,1
30020,与人沟通能力强,1
30021,外语水平：语过CET—4  成绩****；************普通话熟练；*,1
30022,  有超强的自我约束力量,1
30023,语六级，普通话二级甲等,1
30024,一个怀揣梦想的年轻人、、、性格开朗。自我感觉良好,1
30025,有一定的语言组织能力，和交际能力。,1
30026,工作认真负责，上进心强。,1
30027,	************************  具有一定的语听说读写和,1
30028,粤语水平一般，语水平一般。,1
30029,精通粤语，普通话良好，语四级,1
30030,普通话精通、广东话熟练、闽南话良好************,1
30031,通过语六级考试，语有很强的听说读写能力，能够与外国人很好的交流沟通。****,1
30032,熟练表达中文，语良好，能很好理解书面表达意思。通过语四级。,1
30033,1.通过国家语四六级；******2.良好的书写能力，听说一般.,1
30034,"   身为中国人的我,语言是我和朋友交流的一个不错的方法!",1
30035,"广东话流利,普通话标准,语CET-6",1
30036,国语较标准，语三级。,1
30037,"顺利通过CET-6,熟练掌握听说读写,阅读翻译文原文,与国外友人交谈顺畅**",1
30038,有良好的语言表达沟通能力，普通话标准，语四级。,1
30039,国家语四级************国家计算机二级,1
30040,"    语言能力较强,有一定的沟通能力.",1
30041,语四级（****分），普通话流利。,1
30042,普通话二级乙等************大学语六级************粤语一,1
30043,普通话标准。************语熟练，通过语专业八级。********,1
30044,"我可以很熟练应用汉语,可以比较应用文,比较好的掌握WORD,EXSE...软",1
30045,普通话二乙，语四级。,1
30046,"语水平:听,说,读,写的基本能力.",1
30047,普通话优秀，语一般。沟通能力强。,1
30048,普通话：精通  广东话：一般************      语：听：一般，,1
30049,"语 言 能 力：普通话流利,************第一外语： 语 一般 *",1
30050,具有扎实的语语言基础知识和熟练的听、说、读、写、译的能力，能熟练地使用语与客,1
30051,1.有良好的普通话、粤语沟通能力，语水平一般，能看懂一般的电子产品的相关资料。,1
30052," 表达能力较强, 喜欢演讲等。",1
30053," 普通话,粤语,潮汕话.",1
30054,「个人荣誉:」广州日报采访本人相关报道 　 ************[详情面试时,1
30055,本人具有良好的语言沟通能力。交际能力强。********************,1
30056,中文普通话标准流利。会一点简单的日常语。,1
30057,语：一般************粤语：精通,1
30058,普通话：良好  广东话：不会******语：听：良好，说：一般，读：精通，写：,1
30059,　　语三级，计算机VB三级，普通话优秀！,1
30060,     普通话标准，有较好的文字写作功底，书写流畅，字体工整。********,1
30061,普通话：标准、精通  ************语：听：良好，说：良好，读：良好,1
30062,"语语言能力扎实,与外籍人士交流没障碍. ************用语熟练撰",1
30063,普通话二级甲等、语一般,1
30064,普通话及粤语流利,1
30065,普通话标准，流利。善於表达！,1
30066,语四级合格，普通话标准。,1
30067,语四级************略知日语、粤语,1
30068,普通话标准通顺，语通过CET四级,1
30069,  国语  精通************  语  能进行交流,1
30070,可以熟练听说读写专业文文件，对DATASHEET之类的文资料在理解上没有问题,1
30071,本人拥有良好的团队意识，积极与开发团队进行工作中的沟通。在工作中碰到的问题时，及,1
30072,有一定的表达和沟通能力有一定的语能力,1
30073,大学语4级************普通话标准流利,1
30074,"普通话获得了等级证书,语四级",1
30075,    普通话良好。,1
30076,普通话流利！************************语良好！,1
30077,   在校期间历任：学院文学社理事→挂名的；院广播电台栏目主持→客串的；学院年级,1
30078,能够主动与人沟通，具有一定的组织能力。,1
30079,语口语、阅读能力强,1
30080,能读懂一般的文，可以在词霸得帮助下完成邮件和回复。************会看,1
30081,？  较好地掌握语基础知识，具有一定的听、说、读、写、译的能力，能用语进行简,1
30082,语口语能力良好，普通话标准！,1
30083,"普通话二级甲等，语四级。能通过Trade Manager,MSN,Email",1
30084,1.语听说读写流利，语熟练，可流利的和外国人沟通；************2,1
30085,会说流畅的普通话和广东话．,1
30086,逻辑思维严密，能吃苦耐劳，为人坦诚热情。 ************有较强的自学能,1
30087,语：读写能力精通 | 听说能力熟练************,1
30088,语CET-4，读写优秀，听说能力良好,1
30089,通过国家语四级考试（CET-4）************普通话达到二级乙等水平,1
30090,普通话：优秀************粤语：一般************语：良,1
30091,中文良好，外语马马虎虎。,1
30092,可以用语和国外客户对话,1
30093,还可以，不太爱说话,1
30094,高分通过大学语六级，专业四级************日语良好，********,1
30095,************已通过了国家语水平测试CET—4，**********,1
30096,文：四级  说：一般 听：一般************广东话：  说：熟练 听,1
30097,具有流畅的语言表达能力；************善于与客户进行沟通、协调；***,1
30098,语能力为一级水平，普通话为二级乙等,1
30099,计算机国家三级（三级数据库上机）************计算机四川省二级（二级c,1
30100,普通话标准，粤语精通，语一般,1
30101,语已经过了大学语四级，熟练文写作，口语良好。************良好的,1
30102,通过公共语三级。且本人积极乐观向上，能吃苦耐劳，有较强的组织和应变能力，对自己,1
30103,"普通话标准,************语熟练, 可与国外客户电话或邮件沟通.",1
30104,学院内少数通过语六级的学生之一。,1
30105,擅长粤语、国语。,1
30106,普通话       标准************语水平     国家四级***,1
30107,普通话标准；语熟练；日语正学习中...,1
30108,能流利的说普通话，可以听懂一般的粤语，会讲一定的韩语。,1
30109,       该说的时候我说得出来不该说的时候不会说。,1
30110,CET 4************粤语，普通话，语,1
30111,本人在校期间曾经取得过普通话2级乙等，具有良好的普通话水平，并且语言沟通表达能力,1
30112,语水平: ************能熟练掌握基本的听、说、读、写技能；能够进行,1
30113,普通话：标准   选修的第二外语：日语     语：四级***********,1
30114,主次分明、具有较强的组织能力、有点幽默~,1
30115,语  一般，,1
30116,普通话与粤语都属精通************语能够与人基本的交流,1
30117,"本人普通话流利,日语达到国际1级水平.本人性格开朗,善于与人交往,能够在短时间",1
30118,我深知：成功的希望，胜利的光荣在于继续艰苦奋斗之中。我有勇气面对将来的工作挑战。,1
30119,普通话：精通  语：听：精通，说：精通，读：精通，写：精通，等级：六级,1
30120,本人工作积极主动，做事有责任心且能承受压力，有较************强,1
30121,语9年工作实践，口语优秀。,1
30122,           本人自工作以来从事的都是文职类及接待工作，在深圳工作生活,1
30123,语普通,1
30124,语六级，大学期间为学校“口语尖兵队”成员,1
30125,中文交流表达流利、准确、清晰，能阅读文资料。,1
30126,熟国语，粤语。,1
30127,言语能力还可以.表达准确，而且幽默风趣，富有感染力.,1
30128,普通话流利，表达能力较强．,1
30129,在大学里，我主修的是应用语。在三年的勤奋学习后，语言能力有了很大的提高。在大二,1
30130,大学语六级，具有一定的语听、说、读、写能力，较强的阅读能力。,1
30131,1、普通话良好************2、语4级,1
30132,能用语基本交流,1
30133,普通话流利。语三级。语阅读能力较强。,1
30134,普通话：精通 ************广东话：精通 ************客家,1
30135,看懂一般的文资料，填写验货报告，皮具行业较专业的文等,1
30136,     普通话标准 语流利,1
30137,    普通话、粤语、客家话,1
30138,"    普通话标准,能和善的与人沟通,态度温和,不易与他人发生争执,有主见能够",1
30139,"会客家话,一点闽南话跟语",1
30140,1:语大学三级 2:正在培训日语和语口语,1
30141,具有一定语口语能力,1
30142,语四级（****）,1
30143,能够顺利地阅读文资料，应付日常邮件往来。工作期间，曾多次参加新东方语培训，培,1
30144,CET-6 具有良好的听说读写能力,1
30145,大学语四级 CET-4 ****分,1
30146,能准确表达,1
30147,客家话熟练，粤语熟练，语四级，普通话二级乙等，略懂韩语,1
30148,　　语　　国家四级************　　计算机       二级****,1
30149,   ****年通过国家大学语四级考试，有较强的阅读、写作能力,1
30150,"语接近四级水平,读写能力较强,听说能力较差.",1
30151,"普通话优秀,语水平良好.******",1
30152,国语水平良好，发音标准。************语能力一般。,1
30153,能说会道，精通粤语，有较强的沟通能力！                     ,1
30154,普通话标准；************语口语一般，阅读能力熟练。,1
30155,"1.掌握语的基本功，有较好的专业知识，能熟练的翻译写作商务信函,熟悉外贸进出",1
30156,语过专业四级************日语三级************语专八待,1
30157,普通话标准，语达到四级水平，,1
30158,"************普通话标准,语读写流利,粤语一般",1
30159,语四级，听说能力优秀************标准的普通话***********,1
30160,普通话流利，粤语一般。************对模具方面的专业语有所了解，能读,1
30161,普通话水平优秀  语口语一般,1
30162,"普通话,客家话流利,广东话标准",1
30163,语四级，能听懂基本的语会话,1
30164,"普通话好,具有一定的和客户沟通能力.",1
30165,"白话,普通话,潮汕话",1
30166,本人爱好广泛，性恪活泼，团结同事。************.有着8年工作经验，能,1
30167,为人诚恳。工作认真,1
30168,"普通话,语读写听说熟练************粤语听说良好",1
30169,粤语:精通  普通话:精通 ,1
30170,普通话：优秀 粤语：良好 ************客家话：优秀 语：一般,1
30171,CET-6，语听力和阅读能力强，熟悉日常口语。************标准的普,1
30172,具备良好语听，写能力。并通过国家四级考试。,1
30173,普通话、粤语流利，能熟练地听、说、读、写语，口语好，能与美客人流利的沟通，已,1
30174,１）普通话标准，沟通能力良好！************２）语应用能力测试Ａ级。,1
30175,语：四级************粤语：良好************普通话：标准,1
30176,过专业语八级，有良好的听、说、读、写能力，能单独拟写和阅读商务信函。,1
30177,自己的表达能力一般，但善于和同学的沟通！,1
30178, 普通话流利，具备基本的语读写能力。,1
30179,普通话熟练；广东话熟练；语口语优良。,1
30180,语等级：大学语考试三级************语口语：良好********,1
30181,普通话流畅。,1
30182,会简单的语听、说、写能力************普通话流利**********,1
30183,1.具备较强的中文口语和书面表达能力。************2.能听懂标准广东,1
30184,语四级证书************普通话等级证书************,1
30185,"    语言表达能力较好,沟通能力较强.",1
30186,普通话 ：流利************语：大学语四级  ****分,1
30187,国语优,1
30188,普通话 广东话 潮汕话 ,1
30189,本人普通话标准，会初级语。,1
30190,语6级************较好的语交际能力,1
30191,  语：CET-4 **** 能表达和熟练阅读专业资料,1
30192,"善于与人沟通,能简单明了的表达自己的意思",1
30193,本人经过部队教育能吃苦耐劳、对电工技能熟悉、为人忠诚老实,1
30194,语水平  ： CET6  具有良好的听，说，读，写能力************,1
30195,粤语！国语！,1
30196,普通话   熟练************粤语     会听不会说,1
30197,    语（一般） ************    粤语（标准） ******,1
30198,中文普通话：优秀    语水平：一般,1
30199,语熟练，西班牙语初级,1
30200,普通话／粤语熟练，语一般,1
30201,"语熟练，普通话标准,粤语一般。",1
30202,"善于广东话,普通话,客家话******语四级:****分",1
30203,准确而精练的语听、说、读、写能力。普通话标准。,1
30204,思路清晰，表达清楚。,1
30205,外语水平： 国家语4级 ,1
30206,语能力： CET-4（具有良好的阅读、写作能力）,1
30207,语通过国家四级考试，具备一定的语听说读写能力；************普通话,1
30208,语良好，能看懂文文档。,1
30209,已通过语六级，语专业八级，德语四级水平。,1
30210,  ************************    普通话  精通  *,1
30211,普通话：标准     ************广东话：能听懂**********,1
30212,****.****-****.****通过三个月的语学习，语听;说;读;写流利.,1
30213,通过全国语CET4与CET6,1
30214,会JAVA  c++语音,1
30215,语言，普通话标准，能听懂简单的语口语一般！******            ,1
30216,基本的语读写听沟通能力。,1
30217,阅读与读写及会话能力较强，通过全国语等级三级,1
30218,外语一般 ,1
30219,"全国语六级,三年外贸工作经验,能自由与客户邮件,电话和面对面沟通",1
30220,能用日本语简单交流。,1
30221,有较好的与人交流能力，有较强的团队合作精神,1
30222,     本人的有良好的普通话水平，通过语国家三级，粤语水平一般,1
30223,口齿伶俐，普通话语音标准，善于交流~~~；******热情开朗、拼博、有韧性，,1
30224,普通话标准 语通过国家4级,1
30225,粤语和国语流利，语一般,1
30226,普通话标准，语读、写、听一般,1
30227,语水平较佳(有外企工作经验),1
30228,国家计算机二级 ,1
30229, 普通话.,1
30230,普通话流利，语会一点。,1
30231,语言能力: ************普通话：精通 ************广东话,1
30232,"普通话流利,语四级,具有较强的听,说,读写能力!",1
30233,有较高的写作水平,1
30234,"普通话标准,略懂白话",1
30235,汉语：普通话良好，学习能力强，能适应方言************外语：语口语流,1
30236,能用流利的文与外国客户进行沟通，交谈生意。,1
30237,"◇ 顺利修读大学期间的语课程,具有较好的语听、说、读、写、译能力。****",1
30238,语通过了国家四级，能够很熟练的读写，会简单的语口语。汉语能够很熟练的听说读写,1
30239,"   ************　　我是个乐观开朗的人,诚实可靠，保守机密，严守",1
30240,普通话标准************语熟练 六级,1
30241,本人能听、读、写流利的粤语、普通话，能说一般常用语口语。,1
30242, 良好的普通话交流能力，具有一般的文听说读写能力,1
30243,外语：良好     ************国语水平：良好,1
30244,CET-4.,1
30245,语：口语流利，精通文商务信函写作，专业四级公共六级。      ******,1
30246,  熟练驾驭文字,1
30247,普通话流利，亲和力强 ************语口语熟练，能与外商直接谈判 ,1
30248,技能：************1）熟悉电子商务及企业信息、产品信息网上搜索与推广,1
30249,语四级通过,1
30250,国语，广东话,1
30251,    精通粤语、普通话，熟悉语。************    在各种活动、,1
30252,"普通话较为精通,外语比较一般,不会粤语.",1
30253,自认为勉勉强强还可以，表达自我想法没问题。,1
30254,粤语：流利,1
30255,中文：普通话二级甲等************语：CET-6级*********,1
30256,粤语：母语，中文普通话：母语，语口语水平：一般,1
30257,1.做事细心谨慎、有条理性、苛求精细，追求今日事今日毕。************,1
30258,国语熟练，语良好,1
30259,大学语ＣＥＴ４　　****　　普通话水平良好，熟悉广东白话,1
30260,语TEM-8,1
30261,■语大学四级水平************■普通话流利，能很好的表达的自己的想法,1
30262,通过国家语四级考试（CET-4） 分数：****,1
30263,"html,css",1
30264,  普通话流利************,1
30265,C，C＃，ASP.NET，JAVA，VB,1
30266,    ************   自己感觉可以,1
30267,文良好，中文熟练,1
30268,语通过四级，有相当的听说读写能力，******有很好的表达能力,1
30269,一次性通过语四级和语六级,1
30270,语六级，计算机基础知识设计软硬，系统学习过管理语，数据库后台操作，PB9.0,1
30271,全国语能力考试A级,1
30272,通过CET6，听说读写方面都良好！,1
30273,CET-6************稍懂日语,1
30274,粤语，普通话，潮洲话。,1
30275,无论书面还是口头上都能够清晰的表达自己的意思；语言组织能力，理解阅读能力强。,1
30276,语言沟通能力强，日常用语为国语，粤语和客家话，也懂得一些基本的语口语。,1
30277,"能熟練進行語听,說,讀,寫,譯,能翻譯文資料,文書信等並通江西省高等學校",1
30278,精通普通话以及粤语,1
30279,由于一直以来都是从事服务性行业，在与顾客交谈的过程中，绝大多数都受到顾客的好评！,1
30280,1、熟悉操作与安装计算机WindowsXP、****、****操作系统。 *****,1
30281,普通话良好，语较差，粤语能听懂,1
30282,语3级、熟悉C、VB、汇编等程序语言。,1
30283,语熟练   普通话标准   ,1
30284,    语四级水平，普通话。,1
30285,"普通话的水平熟练,",1
30286,标准的普通话，简单的语口语交流，能准确理解一般性的语资料,1
30287,通过国家CET-4考试.,1
30288, 语一般************************,1
30289,待写,1
30290,熟悉粤语，普通话，语,1
30291,    语B级************    粤语水平良好**********,1
30292,语良好，具备一定的听、说、读、写能力，已通过CET4考试；**********,1
30293,◆ 语CET-6，具备较强的听说读写能力。 ************◆ 韩国语,1
30294,语4级  对日语有一定的了解。,1
30295,普通话良好!************语一般,1
30296,吐字清晰，理解力强，表达能力良好。,1
30297,普通话    比较标准************,1
30298,************    我相信，爱一行才能干好一行。我对文字工作一直很感,1
30299,CET--4   普通话二甲,1
30300,    在大学期间担任广播站播音员，学院主持人，具有一定的语言表达能力，和比较标,1
30301,《(高*试》（B级）************流利的普通话，有一定,1
30302,国语较熟练、语一般,1
30303,语听说读写流利************德语听说读写良好,1
30304,"熟悉国语\粤语,略懂语",1
30305,普通话，粤语 潮语,1
30306,语三级，会粤语************C1小车驾驶证,1
30307,"普通话良好   ,   活泼可爱型  ",1
30308,大学语六级****分：读写能力一般 | 听说能力一般************普通,1
30309,	汉语************          语,1
30310,"     语水平三级,****年****月通过水准仪的测量把实践和理论相节合，知",1
30311,语言表达良好。,1
30312,精通普通话，广东话一般,1
30313,属学习，实干型的职员，工作认真负责，敢于承担责任，有较强的精力投入工作。富有工作,1
30314,语熟练************粤语流利,1
30315,语：ＣＥＴ－４，具备良好的文听说读写能力。************日语：接受,1
30316,"表达能力强；语一般；善于与人沟通、粤语一般,普通话精通",1
30317,"语言表达能力强,",1
30318,普通话标准通顺，善于与人沟通交流,1
30319,"1.熟练使用Word,Excel，powerpoint,办公软件。******",1
30320,有较好的沟通能力，较易于接受新生事物，平易近人、乐于交友，勤奋诚肯，有团队精神。,1
30321,普通话精通，粤语精通，语流利,1
30322,见文简介。,1
30323,熟悉办公软件office   word ，Excel ，PowerPoint 等,1
30324,语言水平：语： 一般； 普通话：精通； 粤语：一般,1
30325,"通过了CET4,能够进行简单的口头交流，熟悉各类文档的书写",1
30326,具备良好的语听、说能力和文字翻译能力。国语、粤语娴熟，有良好的沟通能力。,1
30327,有一口熟练的标准的普通话 ************语4级***********,1
30328,本人具备丰富的工作经验和谈判技巧，熟悉珠三角和长三角的供货渠道及市场行情，希望有,1
30329,"通过国家大学语等级考试,有较强的语阅读、写作能力，普通话熟练。",1
30330,.语三级B证书和高等自考语学位证书,1
30331,普通话：精通  广东话：一般************朝鲜语：听：一般，说：一般，,1
30332,语专业八级************剑桥商务语中级,1
30333,普通话标准************语四级，基本的口语交流,1
30334,     语方面：经过大学不断的学习和巩固，以具备较强的听说读写的能力，并通过,1
30335,普通话标准************粤语一般************语水平一般 ,1
30336,语：一般       国语：标准           广东话：熟练  ,1
30337,普通话：标准；************语：精通，已通过专业语八级；*****,1
30338,全国大学生语四级成绩****分， 全国语六级成绩****分；**********,1
30339,这三年的学习生涯过程中，我不断用各方面的知识来充实自己，深入掌握了像电工作业、电,1
30340,性格稳重、有活力，待人热情、真诚。工作认真负责，积极主动，能吃苦耐劳、具有良好的,1
30341,语流利(已通过大学语六级) 普通话标准,1
30342,闽南语熟练************普通话熟练************语一般,1
30343,普通话流利；广东话熟练；语良好.,1
30344, 精通普通话、粤语、语,1
30345,语能进行一般对话沟通,1
30346,具有良好的文字功底，能够独立起草企业绩效以及企业人力资源管理等文件；普通话标准；,1
30347,               语  一般************       ,1
30348,  有良好的沟通能力和语言表达能力，曾在校主持过多个节目和多项会议！,1
30349,"   在学校期间曾学过 演讲与口才 的课程具有一定的语言表达能力,能对语言表达",1
30350,语达到国家四级水平，普通话标准,1
30351,？	普通话，粤语流利 ,1
30352,普通话 粤语 客家话 河源方言,1
30353,中文　　　优秀************文　　　一般,1
30354,熟悉粤语和国语，在语方面有一定能力的听说读写，能进行日常简单的语交流，目前,1
30355,普通话标准!************能够听懂和使用基本的语日常交际用语.,1
30356,国语优秀.,1
30357,大学语考试六级************语专业四级************具有,1
30358,语：六级水平************普通话：二级甲等************德,1
30359,语4级  普通话标准,1
30360,白话及普通话,1
30361,语:一般******广东话:会听,1
30362,普通话 二甲************语  CET-4级,1
30363,普通话：精通 ************ ************广东话：精通*,1
30364,语A级、粤语、普通话水平优秀。,1
30365,语四级******国家计算机二级—VFP证书,1
30366,"熟练使用商务语，精通外贸函电,口语表达流畅************通过大学",1
30367,善于沟通，用心表达,1
30368,普通话流利，语口语良好，阅读和书面表达优秀； ************了解国际,1
30369,语：专业四级水平************听、说、读、写、译能力较好******,1
30370,************语水平一般，普通话标准。,1
30371,普通话  良好************大学语四级,1
30372,普通话：精通  ************广东话：精通************,1
30373,My name is hexiuni,1
30374,语足以面面交流，户籍北京普通话标准。,1
30375,普通话标准，语听说读写良好，二外日语一般,1
30376,通过国家计算机三级（信息管理技术），熟练使用C语言，汇编语言，VB语言，对计算机,1
30377,普通话标准，粤语良好，通过语A级考试。,1
30378,语口语良好，书写熟练。,1
30379,沟通能力好！,1
30380,语熟悉，具有良好的听，说，读，写，能力 ！,1
30381,    1、普通话通过国家语言水平测试；************     2、,1
30382,语B级。,1
30383,普通话良好，白话会听也会讲一些。,1
30384,普通话及白话熟练,1
30385,语四级，会听说读写；************普通话标准流利．,1
30386,语和粤语一般，普通话有二级证书,1
30387,  普通话标准，善于与人沟通，能很好的完成工作上的事情！,1
30388,普通话：精通  ******语：听：精通，说：精通，读：精通，写：精通，等级：,1
30389,语四级，良好的读写能力,1
30390,精通国语，粤语，语，少数地方方言,1
30391,"本人性格属于外向型,活泼开朗,喜欢与人沟通交流,普通话标准,能够流利的与人沟通",1
30392,语、,1
30393,   语言表达能力强，能够说一口流利的普通话，具备一定的听、说、、读、写文能力,1
30394,个人证书：会计从业资格证、本科学位证、毕业证、语四级证书、驾照、计算机一级。,1
30395,"语过CET-6,有良好的语听说和文读写能力.有1年半的外资企业欧美客户服",1
30396,****年通过广西计算机一级；****************年通过广西计算机二,1
30397,语4级书面口语熟练.************日语:书面邮件交流,1
